path,label
webcam_data/scissors/scissors_010.png,scissors
webcam_data/paper/paper_042.png,paper
webcam_data/rock/rock_098.png,rock
webcam_data/rock/rock_016.png,rock
webcam_data/paper/paper_015.png,paper
webcam_data/rock/rock_091.png,rock
webcam_data/scissors/scissors_088.png,scissors
webcam_data/paper/paper_094.png,paper
webcam_data/paper/paper_066.png,paper
webcam_data/paper/paper_047.png,paper
webcam_data/paper/paper_065.png,paper
webcam_data/paper/paper_057.png,paper
webcam_data/scissors/scissors_059.png,scissors
webcam_data/rock/rock_047.png,rock
webcam_data/scissors/scissors_058.png,scissors
webcam_data/rock/rock_080.png,rock
webcam_data/scissors/scissors_004.png,scissors
webcam_data/rock/rock_045.png,rock
webcam_data/scissors/scissors_023.png,scissors
webcam_data/scissors/scissors_091.png,scissors
webcam_data/rock/rock_060.png,rock
webcam_data/paper/paper_038.png,paper
webcam_data/scissors/scissors_065.png,scissors
webcam_data/paper/paper_088.png,paper
webcam_data/scissors/scissors_045.png,scissors
webcam_data/rock/rock_030.png,rock
webcam_data/scissors/scissors_080.png,scissors
webcam_data/rock/rock_007.png,rock
webcam_data/scissors/scissors_009.png,scissors
webcam_data/rock/rock_012.png,rock
webcam_data/paper/paper_085.png,paper
webcam_data/scissors/scissors_062.png,scissors
webcam_data/rock/rock_048.png,rock
webcam_data/paper/paper_081.png,paper
webcam_data/rock/rock_063.png,rock
webcam_data/paper/paper_097.png,paper
webcam_data/paper/paper_027.png,paper
webcam_data/paper/paper_033.png,paper
webcam_data/paper/paper_004.png,paper
webcam_data/scissors/scissors_054.png,scissors
webcam_data/scissors/scissors_007.png,scissors
webcam_data/rock/rock_044.png,rock
webcam_data/rock/rock_021.png,rock
webcam_data/rock/rock_036.png,rock
webcam_data/paper/paper_099.png,paper
webcam_data/scissors/scissors_071.png,scissors
webcam_data/scissors/scissors_052.png,scissors
webcam_data/rock/rock_082.png,rock
webcam_data/rock/rock_040.png,rock
webcam_data/paper/paper_039.png,paper
webcam_data/paper/paper_075.png,paper
webcam_data/scissors/scissors_072.png,scissors
webcam_data/rock/rock_096.png,rock
webcam_data/scissors/scissors_033.png,scissors
webcam_data/rock/rock_033.png,rock
webcam_data/paper/paper_036.png,paper
webcam_data/scissors/scissors_066.png,scissors
webcam_data/scissors/scissors_042.png,scissors
webcam_data/scissors/scissors_051.png,scissors
webcam_data/scissors/scissors_057.png,scissors
webcam_data/rock/rock_074.png,rock
webcam_data/rock/rock_066.png,rock
webcam_data/rock/rock_062.png,rock
webcam_data/rock/rock_046.png,rock
webcam_data/rock/rock_053.png,rock
webcam_data/paper/paper_009.png,paper
webcam_data/rock/rock_003.png,rock
webcam_data/rock/rock_005.png,rock
webcam_data/rock/rock_079.png,rock
webcam_data/paper/paper_050.png,paper
webcam_data/scissors/scissors_043.png,scissors
webcam_data/paper/paper_008.png,paper
webcam_data/paper/paper_068.png,paper
webcam_data/rock/rock_088.png,rock
webcam_data/rock/rock_019.png,rock
webcam_data/paper/paper_069.png,paper
webcam_data/rock/rock_095.png,rock
webcam_data/rock/rock_049.png,rock
webcam_data/paper/paper_001.png,paper
webcam_data/paper/paper_052.png,paper
webcam_data/scissors/scissors_096.png,scissors
webcam_data/scissors/scissors_024.png,scissors
webcam_data/scissors/scissors_012.png,scissors
webcam_data/rock/rock_093.png,rock
webcam_data/paper/paper_071.png,paper
webcam_data/paper/paper_074.png,paper
webcam_data/paper/paper_024.png,paper
webcam_data/scissors/scissors_053.png,scissors
webcam_data/scissors/scissors_039.png,scissors
webcam_data/paper/paper_093.png,paper
webcam_data/paper/paper_077.png,paper
webcam_data/paper/paper_048.png,paper
webcam_data/scissors/scissors_084.png,scissors
webcam_data/paper/paper_045.png,paper
webcam_data/paper/paper_098.png,paper
webcam_data/paper/paper_063.png,paper
webcam_data/scissors/scissors_081.png,scissors
webcam_data/rock/rock_034.png,rock
webcam_data/scissors/scissors_008.png,scissors
webcam_data/rock/rock_084.png,rock
webcam_data/rock/rock_014.png,rock
webcam_data/rock/rock_015.png,rock
webcam_data/scissors/scissors_094.png,scissors
webcam_data/scissors/scissors_077.png,scissors
webcam_data/paper/paper_000.png,paper
webcam_data/rock/rock_065.png,rock
webcam_data/paper/paper_007.png,paper
webcam_data/scissors/scissors_099.png,scissors
